Name,Pos,Team,Home?,Time,Opp,Pitcher,AB,H,XBH,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Whit Merrifield,2B,KC,No,7:05 PM,NYY,CC Sabathia,11,5,1,0,0,0,2,0.455,0.455,0.545,1
Lucas Duda,1B,KC,No,7:05 PM,NYY,CC Sabathia,10,2,1,1,2,3,4,0.2,0.429,0.5,0.929
Joe Panik,2B,SF,No,7:05 PM,PIT,Jordan Lyles,14,5,2,0,2,2,1,0.357,0.444,0.5,0.944
Buster Posey,C,SF,No,7:05 PM,PIT,Jordan Lyles,16,5,4,1,3,0,1,0.313,0.313,0.688,1
Gerardo Parra,OF,SF,No,7:05 PM,PIT,Jordan Lyles,23,9,4,0,0,1,1,0.391,0.44,0.565,1.005
Josh Donaldson,3B,ATL,No,7:10 PM,CLE,Corey Kluber,19,7,1,1,5,4,3,0.368,0.478,0.526,1.005
Yolmer Sanchez,3B,CWS,No,7:10 PM,DET,Jordan Zimmermann,16,6,3,0,3,0,1,0.375,0.412,0.625,1.037
Yonder Alonso,1B,CWS,No,7:10 PM,DET,Jordan Zimmermann,18,7,6,4,7,0,0,0.389,0.389,1.167,1.556
Jose Abreu,1B,CWS,No,7:10 PM,DET,Jordan Zimmermann,23,10,4,2,8,1,2,0.435,0.44,0.826,1.266
Martin Prado,3B,MIA,Yes,7:10 PM,WAS,Anibal Sanchez,36,15,2,1,5,1,1,0.417,0.432,0.528,0.96
Michael Brantley,OF,HOU,No,8:05 PM,TEX,Drew Smyly,12,5,3,0,2,3,0,0.417,0.533,0.75,1.283
Shin-Soo Choo,OF,TEX,Yes,8:05 PM,HOU,Justin Verlander,79,15,4,3,5,10,34,0.19,0.281,0.316,0.597
Justin Turner,3B,LAD,No,8:10 PM,MIL,Jhoulys Chacin,19,6,3,0,4,3,3,0.316,0.44,0.474,0.914
A.J. Pollock,OF,LAD,No,8:10 PM,MIL,Jhoulys Chacin,11,4,1,1,2,2,1,0.364,0.5,0.636,1.136
Joc Pederson,OF,LAD,No,8:10 PM,MIL,Jhoulys Chacin,13,3,2,2,6,2,0,0.231,0.353,0.692,1.045
Cody Bellinger,1B,LAD,No,8:10 PM,MIL,Jhoulys Chacin,12,5,3,2,5,2,4,0.417,0.5,1.083,1.583
Yadier Molina,C,STL,Yes,8:15 PM,NYM,Jason Vargas,11,5,2,1,5,1,0,0.455,0.462,0.818,1.28
Trevor Story,SS,COL,Yes,8:40 PM,PHI,Vince Velasquez,12,3,3,1,3,1,2,0.25,0.308,0.667,0.974
Andrelton Simmons,SS,LAA,Yes,10:07 PM,SEA,Marco Gonzales,18,8,0,0,0,0,1,0.444,0.444,0.444,0.889
Mike Trout,OF,LAA,Yes,10:07 PM,SEA,Marco Gonzales,17,8,4,1,2,2,4,0.471,0.526,0.824,1.35
David Fletcher,2B,LAA,Yes,10:07 PM,SEA,Marco Gonzales,11,3,3,0,2,1,2,0.273,0.333,0.636,0.97
Greg Garcia,2B,SD,Yes,10:10 PM,CIN,Anthony DeSclafani,14,7,3,0,1,0,2,0.5,0.5,0.714,1.214
